stationname,parameter,date,hour,conc
Cid.Universitária-USP-Ipen,O3,2019-01-01,1,61
Cid.Universitária-USP-Ipen,O3,2019-01-01,2,54
Cid.Universitária-USP-Ipen,O3,2019-01-01,3,46
Cid.Universitária-USP-Ipen,O3,2019-01-01,4,50
Cid.Universitária-USP-Ipen,O3,2019-01-01,5,42
Cid.Universitária-USP-Ipen,O3,2019-01-01,6,44
Cid.Universitária-USP-Ipen,O3,2019-01-01,7,41
Cid.Universitária-USP-Ipen,O3,2019-01-01,8,43
Cid.Universitária-USP-Ipen,O3,2019-01-01,9,48
Cid.Universitária-USP-Ipen,O3,2019-01-01,10,59
Cid.Universitária-USP-Ipen,O3,2019-01-01,11,67
Cid.Universitária-USP-Ipen,O3,2019-01-01,12,73
Cid.Universitária-USP-Ipen,O3,2019-01-01,13,78
Cid.Universitária-USP-Ipen,O3,2019-01-01,14,83
Cid.Universitária-USP-Ipen,O3,2019-01-01,15,89
Cid.Universitária-USP-Ipen,O3,2019-01-01,16,94
Cid.Universitária-USP-Ipen,O3,2019-01-01,17,80
Cid.Universitária-USP-Ipen,O3,2019-01-01,18,77
Cid.Universitária-USP-Ipen,O3,2019-01-01,19,75
Cid.Universitária-USP-Ipen,O3,2019-01-01,20,79
Cid.Universitária-USP-Ipen,O3,2019-01-01,21,52
Cid.Universitária-USP-Ipen,O3,2019-01-01,22,39
Cid.Universitária-USP-Ipen,O3,2019-01-01,23,33
Cid.Universitária-USP-Ipen,O3,2019-01-01,24,30
Cid.Universitária-USP-Ipen,O3,2019-01-02,1,33
Cid.Universitária-USP-Ipen,O3,2019-01-02,2,28
Cid.Universitária-USP-Ipen,O3,2019-01-02,3,19
Cid.Universitária-USP-Ipen,O3,2019-01-02,4,13
Cid.Universitária-USP-Ipen,O3,2019-01-02,5,14
Cid.Universitária-USP-Ipen,O3,2019-01-02,6,2
Cid.Universitária-USP-Ipen,O3,2019-01-02,7,1
Cid.Universitária-USP-Ipen,O3,2019-01-02,8,4
Cid.Universitária-USP-Ipen,O3,2019-01-02,9,14
Cid.Universitária-USP-Ipen,O3,2019-01-02,10,38
Cid.Universitária-USP-Ipen,O3,2019-01-02,11,55
Cid.Universitária-USP-Ipen,O3,2019-01-02,12,66
Cid.Universitária-USP-Ipen,O3,2019-01-02,13,72
Cid.Universitária-USP-Ipen,O3,2019-01-02,14,79
Cid.Universitária-USP-Ipen,O3,2019-01-02,15,77
Cid.Universitária-USP-Ipen,O3,2019-01-02,16,74
Cid.Universitária-USP-Ipen,O3,2019-01-02,17,65
Cid.Universitária-USP-Ipen,O3,2019-01-02,18,65
Cid.Universitária-USP-Ipen,O3,2019-01-02,19,57
Cid.Universitária-USP-Ipen,O3,2019-01-02,20,53
Cid.Universitária-USP-Ipen,O3,2019-01-02,21,41
Cid.Universitária-USP-Ipen,O3,2019-01-02,22,32
Cid.Universitária-USP-Ipen,O3,2019-01-02,23,39
Cid.Universitária-USP-Ipen,O3,2019-01-02,24,32
Cid.Universitária-USP-Ipen,O3,2019-01-03,1,20
Cid.Universitária-USP-Ipen,O3,2019-01-03,2,18
Cid.Universitária-USP-Ipen,O3,2019-01-03,3,31
Cid.Universitária-USP-Ipen,O3,2019-01-03,4,19
Cid.Universitária-USP-Ipen,O3,2019-01-03,5,12
Cid.Universitária-USP-Ipen,O3,2019-01-03,6,6
Cid.Universitária-USP-Ipen,O3,2019-01-03,7,13
Cid.Universitária-USP-Ipen,O3,2019-01-03,8,11
Cid.Universitária-USP-Ipen,O3,2019-01-03,9,27
Cid.Universitária-USP-Ipen,O3,2019-01-03,10,48
Cid.Universitária-USP-Ipen,O3,2019-01-03,11,63
Cid.Universitária-USP-Ipen,O3,2019-01-03,12,74
Cid.Universitária-USP-Ipen,O3,2019-01-03,13,79
Cid.Universitária-USP-Ipen,O3,2019-01-03,14,84
Cid.Universitária-USP-Ipen,O3,2019-01-03,15,81
Cid.Universitária-USP-Ipen,O3,2019-01-03,16,79
Cid.Universitária-USP-Ipen,O3,2019-01-03,17,74
Cid.Universitária-USP-Ipen,O3,2019-01-03,18,71
Cid.Universitária-USP-Ipen,O3,2019-01-03,19,63
Cid.Universitária-USP-Ipen,O3,2019-01-03,20,53
Cid.Universitária-USP-Ipen,O3,2019-01-03,21,45
Cid.Universitária-USP-Ipen,O3,2019-01-03,22,34
Cid.Universitária-USP-Ipen,O3,2019-01-03,23,28
Cid.Universitária-USP-Ipen,O3,2019-01-03,24,18
Cid.Universitária-USP-Ipen,O3,2019-01-04,1,33
Cid.Universitária-USP-Ipen,O3,2019-01-04,2,35
Cid.Universitária-USP-Ipen,O3,2019-01-04,3,37
Cid.Universitária-USP-Ipen,O3,2019-01-04,4,36
Cid.Universitária-USP-Ipen,O3,2019-01-04,5,29
Cid.Universitária-USP-Ipen,O3,2019-01-04,6,21
Cid.Universitária-USP-Ipen,O3,2019-01-04,7,10
Cid.Universitária-USP-Ipen,O3,2019-01-04,8,11
Cid.Universitária-USP-Ipen,O3,2019-01-04,9,15
Cid.Universitária-USP-Ipen,O3,2019-01-04,10,27
Cid.Universitária-USP-Ipen,O3,2019-01-04,11,35
Cid.Universitária-USP-Ipen,O3,2019-01-04,12,57
Cid.Universitária-USP-Ipen,O3,2019-01-04,13,76
Cid.Universitária-USP-Ipen,O3,2019-01-04,14,86
Cid.Universitária-USP-Ipen,O3,2019-01-04,15,56
Cid.Universitária-USP-Ipen,O3,2019-01-04,16,20
Cid.Universitária-USP-Ipen,O3,2019-01-04,17,15
Cid.Universitária-USP-Ipen,O3,2019-01-04,18,18
Cid.Universitária-USP-Ipen,O3,2019-01-04,19,25
Cid.Universitária-USP-Ipen,O3,2019-01-04,20,30
Cid.Universitária-USP-Ipen,O3,2019-01-04,21,24
Cid.Universitária-USP-Ipen,O3,2019-01-04,22,9
Cid.Universitária-USP-Ipen,O3,2019-01-04,23,11
Cid.Universitária-USP-Ipen,O3,2019-01-04,24,26
Cid.Universitária-USP-Ipen,O3,2019-01-05,1,21
Cid.Universitária-USP-Ipen,O3,2019-01-05,2,25
Cid.Universitária-USP-Ipen,O3,2019-01-05,3,25
Cid.Universitária-USP-Ipen,O3,2019-01-05,4,26
Cid.Universitária-USP-Ipen,O3,2019-01-05,5,34
Cid.Universitária-USP-Ipen,O3,2019-01-05,6,31
Cid.Universitária-USP-Ipen,O3,2019-01-05,7,35
Cid.Universitária-USP-Ipen,O3,2019-01-05,8,20
Cid.Universitária-USP-Ipen,O3,2019-01-05,9,15
Cid.Universitária-USP-Ipen,O3,2019-01-05,10,16
Cid.Universitária-USP-Ipen,O3,2019-01-05,11,31
Cid.Universitária-USP-Ipen,O3,2019-01-05,12,30
Cid.Universitária-USP-Ipen,O3,2019-01-05,13,43
Cid.Universitária-USP-Ipen,O3,2019-01-05,14,57
